"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1990","1990","WEEK","Weeks","0","Units",,,63,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1991","1991","WEEK","Weeks","0","Units",,,63,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1992","1992","WEEK","Weeks","0","Units",,,63,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1993","1993","WEEK","Weeks","0","Units",,,63,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1994","1994","WEEK","Weeks","0","Units",,,63,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1995","1995","WEEK","Weeks","0","Units",,,58.7,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1996","1996","WEEK","Weeks","0","Units",,,58.7,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1997","1997","WEEK","Weeks","0","Units",,,58.7,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1998","1998","WEEK","Weeks","0","Units",,,58.7,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1999","1999","WEEK","Weeks","0","Units",,,58.7,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2000","2000","WEEK","Weeks","0","Units",,,58.7,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2001","2001","WEEK","Weeks","0","Units",,,58.7,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2002","2002","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2003","2003","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2004","2004","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2005","2005","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2006","2006","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2007","2007","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2008","2008","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2009","2009","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2010","2010","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2011","2011","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2012","2012","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2013","2013","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015","WEEK","Weeks","0","Units",,,60,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016","WEEK","Weeks","0","Units",,,55.7,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017","WEEK","Weeks","0","Units",,,55.7,,
"SWE","Sweden","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018","WEEK","Weeks","0","Units",,,55.7,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1990","1990","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1991","1991","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1992","1992","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1993","1993","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1994","1994","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1995","1995","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1996","1996","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1997","1997","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1998","1998","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1999","1999","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2000","2000","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2001","2001","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2002","2002","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2003","2003","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2004","2004","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2005","2005","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2006","2006","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2007","2007","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2008","2008","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2009","2009","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2010","2010","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2011","2011","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2012","2012","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2013","2013","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018","WEEK","Weeks","0","Units",,,16,,
"FIN","Finland","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1990","1990","WEEK","Weeks","0","Units",,,159,,
"FIN","Finland","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1991","1991","WEEK","Weeks","0","Units",,,161,,
"FIN","Finland","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1992","1992","WEEK","Weeks","0","Units",,,161,,
"FIN","Finland","TOTAL","Total","FAM12A","Length of paid maternity and parental leave available to mothers in weeks","1993","1993","WEEK","Weeks","0","Units",,,161,,
