"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2001","2001","PC","Percentage","0","Units",,,-20.2,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2002","2002","PC","Percentage","0","Units",,,-20.7,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2003","2003","PC","Percentage","0","Units",,,-20.3,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2004","2004","PC","Percentage","0","Units",,,-19.8,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2005","2005","PC","Percentage","0","Units",,,-20.3,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2006","2006","PC","Percentage","0","Units",,,-17.2,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2007","2007","PC","Percentage","0","Units",,,-19,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2008","2008","PC","Percentage","0","Units",,,-18.7,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2009","2009","PC","Percentage","0","Units",,,-25.5,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2010","2010","PC","Percentage","0","Units",,,-25.8,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2011","2011","PC","Percentage","0","Units",,,-25.9,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2012","2012","PC","Percentage","0","Units",,,-26.7,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2013","2013","PC","Percentage","0","Units",,,-29,,
"NLD","Netherlands","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2014","2014","PC","Percentage","0","Units",,,-30.4,,
"HUN","Hungary","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2005","2005","PC","Percentage","0","Units",,,86.8,,
"HUN","Hungary","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2010","2010","PC","Percentage","0","Units",,,86.7,,
"HUN","Hungary","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2011","2011","PC","Percentage","0","Units",,,87.8,,
"HUN","Hungary","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2012","2012","PC","Percentage","0","Units",,,87.8,,
"HUN","Hungary","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2013","2013","PC","Percentage","0","Units",,,88.3,,
"HUN","Hungary","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2014","2014","PC","Percentage","0","Units",,,89.7,,
"HUN","Hungary","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2015","2015","PC","Percentage","0","Units",,,90.8,,
"HUN","Hungary","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2016","2016","PC","Percentage","0","Units",,,92.1,,
"HUN","Hungary","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2017","2017","PC","Percentage","0","Units",,,92,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2001","2001","PC","Percentage","0","Units",,,-48.9,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2002","2002","PC","Percentage","0","Units",,,-41.3,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2003","2003","PC","Percentage","0","Units",,,-42.3,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2004","2004","PC","Percentage","0","Units",,,-38.4,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2005","2005","PC","Percentage","0","Units",,,-38.3,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2006","2006","PC","Percentage","0","Units",,,-34.4,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2007","2007","PC","Percentage","0","Units",,,-30.9,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2008","2008","PC","Percentage","0","Units",,,-28,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2009","2009","PC","Percentage","0","Units",,,-26.3,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2010","2010","PC","Percentage","0","Units",,,-38.7,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2011","2011","PC","Percentage","0","Units",,,-29.2,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2012","2012","PC","Percentage","0","Units",,,-25.4,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2013","2013","PC","Percentage","0","Units",,,-45.6,,
"GRC","Greece","TOTAL","Total","FAM15B","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings","2014","2014","PC","Percentage","0","Units",,,-47.6,,
"TUR","Turkey","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1990","1990","WEEK","Weeks","0","Units",,,0,,
"TUR","Turkey","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1991","1991","WEEK","Weeks","0","Units",,,0,,
"TUR","Turkey","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1992","1992","WEEK","Weeks","0","Units",,,0,,
